TermId;Term;P - Exact Match;R - Exact Match;F - Exact Match;P - Decision Trees;R - Decision Trees;F-Decision Trees;P-Naïve Bayes;R-Naïve Bayes;F-Naïve Bayes;P - MaxEnt;R-MaxEnt;F-MaxEnt;UMLS
6;Abdomen, Acute;0,727272727;0,002124834;0,004237288;0,934460764;0,799118977;0,855808251;0,782588536;0,983759054;0,871704763;0,994796798;0,890795891;0,93904064;1
7;Abdominal Injuries;0,76083707;0,1018;0,179573117;0,98311965;0,740372251;0,844636338;0,81281795;0,987680864;0,891752958;0,995340864;0,907890833;0,948461684;1
8;Abdominal Neoplasms;0,613636364;0,007675906;0,015162151;0,958625292;0,631255803;0,761161608;0,767289176;0,969443874;0,856585175;0,988201394;0,853214822;0,914458449;1
9;Abdominal Muscles;0,524076148;0,055740829;0,100764345;0,965956656;0,692757732;0,8068104;0,795043326;0,953435349;0,867054035;0,994104756;0,884262609;0,935275722;1
10;Abducens Nerve;0,426785714;0,145377129;0,216878403;0,982748258;0,685762189;0,80773393;0,80583185;0,988469211;0,887700194;0,997994772;0,891968465;0,939513027;1
13;Congenital Abnormalities;0,093695271;0,0214;0,034842071;0,796164388;0,853176852;0,82346581;0,801387146;0,963566732;0,875017186;0,999077697;0,909941667;0,951575136;1
14;Abnormalities, Drug-Induced;0;0;0;0,777446498;0,837179199;0,806198932;0,833336531;0,984015437;0,902417113;0,999460174;0,928031667;0,96201548;1
15;Abnormalities, Multiple;0,03125;0,0001;0,000199362;0,964908244;0,682923857;0,799586807;0,806981861;0,981012295;0,885515263;0,995523425;0,930184167;0,961159949;1
16;Abnormalities, Radiation-Induced;0;0;0;0,957378612;0,735987603;0,831614589;0,81061363;0,972864634;0,883734569;0,99847615;0,875893323;0,930994374;1
22;Abortion, Spontaneous;0,53125;0,0017;0,003389155;0,783101705;0,910167117;0,841858614;0,812021239;0,980397411;0,888289149;0,997914273;0,901028333;0,946490989;1
26;Abortion, Habitual;0,75;0,00065703;0,00131291;0,97866592;0,796447942;0,878191556;0,850961759;0,992433453;0,916197725;0,99800492;0,867180394;0,926173867;1
30;Abortion, Missed;0,875;0,008018328;0,015891033;0,970351034;0,7253826;0,829754714;0,743408738;0,993263715;0,85015369;0,994635317;0,859234195;0,919272556;1
31;Abortion, Septic;0,6;0,002636204;0,005249344;0,933364901;0,702927824;0,795005786;0,732183433;0,969279379;0,833991947;0,998510613;0,876769756;0,932869228;1
33;Abortion, Threatened;0,333333333;0,001033058;0,002059732;0,984040013;0,723253091;0,833672758;0,736505452;0,984697849;0,842595154;0,99668074;0,896488124;0,943231593;1
34;Abortion, Veterinary;0;0;0;0,982545504;0,845107913;0,908583769;0,838613546;0,986937039;0,906725897;0,996398657;0,895011686;0,941272003;1
35;Abreaction;0,405405405;0,135746606;0,203389831;0,918455426;0,538084059;0,650211594;0,685236148;0,972221605;0,803461256;1;0,912667984;0,952548826;1
37;Abruptio Placentae;0,583225806;0,291989664;0,389151959;0,982057646;0,770850355;0,863525001;0,773499664;0,991904672;0,869134268;0,994773188;0,877538891;0,931283179;1
39;Peritonsillar Abscess;0,827751196;0,488011283;0,614019521;0,995592319;0,74906466;0,854696728;0,697131707;0,988359988;0,817478405;0,9967838;0,784928236;0,87541202;1
51;Acantholysis;0,430016863;0,406698565;0,418032787;0,997433718;0,916875393;0,955409522;0,733445673;0,993425768;0,843612794;0,998215279;0,862616146;0,923255267;1
52;Acanthosis Nigricans;0,761029412;0,679245283;0,717815345;0,974678227;0,823924245;0,892921098;0,727394895;0,986412549;0,837270189;0,997447727;0,830656487;0,904862435;1
57;Accident Proneness;0,584615385;0,141791045;0,228228228;0,992375566;0,676317542;0,802935126;0,694413929;0,999019608;0,817996351;0,997826087;0,837022792;0,905824909;1
124;Achievement;0,272186924;0,2656;0,268853123;0,980061044;0,636475634;0,771712591;0,833666006;0,994006385;0,906783711;0,995250687;0,896763333;0,942959422;1
126;Achlorhydria;0,539495798;0,275300172;0,364565588;0,990307433;0,63778952;0,775807556;0,763530153;0,989028596;0,86165143;0,999303306;0,916624875;0,955793923;1
130;Achondroplasia;0,805527124;0,497786211;0,615324472;0,997549148;0,684560592;0,811808607;0,737055565;0,986392457;0,843588461;0,995579758;0,831860706;0,904152222;1
137;Acid-Base Imbalance;0,517241379;0,043352601;0,08;0,981427276;0,710486139;0,824069545;0,772128653;0,984883114;0,865498524;0,999436245;0,840023443;0,910158033;1
138;Acidosis;0,276069282;0,4686;0,347445688;0,811173661;0,89698443;0,851881799;0,829881252;0,977863042;0,897802904;0,99978174;0,940278333;0,96865801;1
140;Acidosis, Lactic;0,482758621;0,006679389;0,013176471;0,993416073;0,838471723;0,909266276;0,882749997;0,98556599;0,931278251;0,993654105;0,857137812;0,918118649;1
141;Acidosis, Renal Tubular;0,823529412;0,006178288;0,012264564;0,983997882;0,850746989;0,912443596;0,765137776;0,994658325;0,864898189;0,998606411;0,910189976;0,951946589;1
142;Acidosis, Respiratory;0,2;0,00231696;0,004580852;0,972190233;0,662196888;0,787640034;0,76194263;0,980363801;0,857435588;0,999165126;0,873494401;0,930940076;1
151;Acinetobacter Infections;0,888888889;0,03051494;0,059004302;0,98934082;0,893774219;0,939025746;0,935619203;0,933100889;0,93426755;0,991206086;0,85743072;0,917589397;1
152;Acne Vulgaris;0,93293247;0,251370887;0,396033772;0,983670807;0,836848986;0,904321737;0,793545657;0,985337732;0,879077636;0,998258482;0,793447235;0,880419802;1
160;Vestibulocochlear Nerve Diseases;0;0;0;0,977753102;0,823029134;0,893608746;0,793523684;0,980842384;0,87655928;0,995758643;0,79472483;0,878773737;1
163;Acquired Immunodeficiency Syndrome;0,156732394;0,1391;0,147390728;0,988671864;0,85361251;0,916185759;0,782754346;0,979194341;0,870011632;0,995074495;0,898446667;0,942812598;1
168;Acrocephalosyndactylia;0,932432432;0,062556664;0,117247239;0,960422664;0,838572918;0,895291634;0,774042629;0,998155221;0,871708393;0,995471802;0,866613268;0,925777874;1
169;Acrodermatitis;0,813598167;0,597307908;0,688874515;0,97506664;0,788744822;0,871914405;0,752106205;0,986290262;0,853371831;0,998425167;0,810195321;0,8911273;1
170;Acrodynia;0,859459459;0,516233766;0,645030426;0,969833926;0,746201499;0,837527691;0,787158311;0,934709175;0,854016618;1;0,88155914;0,936322263;1
172;Acromegaly;0,877804978;0,660577218;0,75385424;0,988711726;0,815170712;0,893555815;0,853306948;0,982262459;0,913244023;0,997098295;0,850145924;0,91668148;1
174;Acromion;0,395419847;0,372661871;0,383703704;0,999534884;0,838862094;0,912063686;0,936832225;0,957762528;0,947146043;0,992807273;0,839696342;0,906838766;1
177;Acrosome;0,666049383;0,684427529;0,675113405;0,995801143;0,954688015;0,974805712;0,96585696;0,946528722;0,956080362;0,998019825;0,955265206;0,975098667;1
182;ACTH Syndrome, Ectopic;0,6;0,004431315;0,008797654;0,98999614;0,8885385;0,936472939;0,922661818;0,996506254;0,957865785;0,999435028;0,901532631;0,947101478;1
184;Acting Out;0,376199616;0,204592902;0,265043949;0,973700715;0,63962804;0,771936804;0,726776108;0,997782385;0,840830453;0,997989986;0,891783991;0,940177964;1
189;Actinobacillus Infections;1;0,003036437;0,00605449;0,98800988;0,930827117;0,958554567;0,944013577;0,927256638;0,935427129;0,995170749;0,880736446;0,932665261;1
193;Actinomycetales Infections;1;0,002199413;0,004389173;0,951961025;0,73213837;0,827463852;0,892619047;0,977845712;0,933065746;0,993093399;0,878402591;0,931145394;1
196;Actinomycosis;0,851602024;0,681143782;0,756894484;0,999418638;0,818878865;0,900163429;0,74913896;0,979745282;0,84902373;0,996918457;0,851040759;0,917303711;1
197;Actinomycosis, Cervicofacial;1;0,004484305;0,008928571;0,99181402;0,833150556;0,905449483;0,69605506;0,993287116;0,818312577;1;0,808712121;0,88978108;1
208;Acute Disease;0,027051398;0,003;0,005401026;0,865077485;0,848823392;0,848302008;0,803132956;0,971316982;0,879243372;0,998734618;0,910620833;0,952273886;1
210;Acute-Phase Reaction;0,532544379;0,035460993;0,066494274;0,973403543;0,865606462;0,916176974;0,90278363;0,837914313;0,869079233;0,988940362;0,872997736;0,925822531;1
219;Adams-Stokes Syndrome;0,825327511;0,131341209;0,226618705;0,975788092;0,606626539;0,747413545;0,753221648;0,984611788;0,853451972;1;0,92307265;0,959013092;1
223;Adaptation, Psychological;0,142857143;0,0001;0,00019986;0,937605535;0,582528038;0,699557666;0,820553637;0,991314097;0,897878609;0,994170335;0,879570833;0,931768189;1
230;Adenocarcinoma;0,089352392;0,3063;0,138346883;0,954542924;0,808290693;0,875339484;0,834465704;0,971083668;0,897597023;0,99496221;0,921115833;0,955852194;1
231;Adenocarcinoma, Papillary;0,238095238;0,001634521;0,003246753;0,935968081;0,810717688;0,868753753;0,784271709;0,973435873;0,868574293;0,988300844;0,872353048;0,925324357;1
232;Adenofibroma;0,765432099;0,060933661;0,112881202;0,97758067;0,78947988;0,873378321;0,766236955;0,989007116;0,863363889;0,9971917;0,909019615;0,950125119;1
235;Adenolymphoma;0,886792453;0,143730887;0,247368421;0,99686857;0,83961745;0,911476635;0,761955171;0,998035008;0,86405098;0,993067211;0,887225445;0,936570614;1
236;Adenoma;0,187663429;0,4019;0,255856888;0,982734185;0,710613014;0,824787266;0,854613204;0,985647674;0,915452344;0,995626353;0,9449475;0,969252224;1
237;Adenoma, Basophil;0;0;0;0,995694444;0,862136158;0,923636065;0,733179539;0,994193062;0,843504862;1;0,813333333;0,893675599;1
238;Adenoma, Chromophobe;1;0,000716846;0,001432665;0,985405982;0,711304519;0,825937836;0,748596678;0,98360756;0,850088525;1;0,889379034;0,939987583;1
239;Adenoma, Acidophil;0;0;0;0,996843769;0,782677162;0,876676217;0,736078374;0,992498549;0,844786336;1;0,871119334;0,928800815;1
